ranking,Korean_word,etymology,Japanese_meaning,memo,part_of_speech,hint,grade
9266,열03,,,,수,,A
1821,열07,,,,명,熱,B
287,열다02,,開ける、開く,,동,문을 ~,A
10159,열리다01,,,,동,열매가 ~,B
436,열리다02,,,,동,문이 ~,B
4143,열쇠,,,,명,,A
660,열심히,,一生懸命に,,부,熱心-,A
2602,열차02,,,,명,列車,B
5523,열흘,,,,명,,B
7074,염려하다01,,,,동,念慮-,B
7581,엽서02,,,,명,葉書,B
,영국,,,,고,英國,A
28312,영상03,,,,명,零上,B
1090,영어02,,,,명,英語,A
2934,영원하다,,,,형,永遠-,B
3540,영원히,,,,부,永遠-,B
5037,영하,,,,명,零下,B
341,영화01,,映画,,명,映畵,A
444,옆,,横,,명,,A
10162,옆방,,,,명,#NAME?,B
6107,옆집,,,,명,,B
605,예06,,はい,「네」よりも丁寧。,감,,A
452,예08,,,,명,例,B
2009,예금01,,,,명,預金,B
28328,예매하다01,,,,동,豫買-,B
1009,예쁘다,,,,형,,A
2690,예상02,,,,명,豫想,B
21340,예순,,,,수,,A
205,예술,,,,명,藝術,B
1701,예술가,,,,명,藝術家,B
9271,예약,,,,명,豫約,B
1832,예전01,,,,명,,B
2449,예절,,,,명,禮節,B
999,예정02,,,,명,豫定,B
1445,옛01,,,,관,,B
617,옛날,,昔,,명,,A
8863,옛날이야기,,,,명,,B
5386,오02,,,,감,,B
21348,오04,,,,수,五,A
3365,오가다,,,,동,,B
310,오늘,,今日,,명,,A
544,오늘,,今日,,부,,A
721,오늘날,,,,명,,B
35,오다01,,来る,,동,,A
71,오다01,,（～て）来る,,보,,A
978,오래02,,,,부,,A
6108,오래간만,,,,명,,A
6109,오래도록,,,,부,,B
3046,오래되다,,,,동,,B
2203,오래전,,,,명,#NAME?,B
1254,오랜,,,,관,,B
2390,오랜만,,,,명,,A
1420,오랫동안,,,,명,,B
4145,오렌지,,,,명,orange,A
394,오르다,,上がる,,동,,A
8169,오른발,,,,명,,B
5651,오른손,,,,명,,B
1897,오른쪽,,,,명,,A
6846,오리03,,,,명,동물,B
8865,오븐,,,,명,oven,B
1000,오빠,,,,명,,A
19100,오십,,,,수,五十,A
991,오월01,,,,명,五月,A
7076,오이01,,,,명,,B
1193,오전02,,,,명,午前,A
2140,오직01,,,,부,,B
2287,오징어,,,,명,,B
10167,오피스텔,,,,명,office hotel,B
606,오후02,,午後,,명,午後,A
5527,옥수수,,,,명,,B
1465,온01,,,,관,,B
2475,온도,,,,명,溫度,B
2268,온몸,,,,명,,B
2253,온통,,,,부,,B
669,올라가다,,上がる、上がっていく,,동,,A
1494,올라오다,,,,동,,B
3125,올려놓다,,,,동,,B
1437,올림픽,,,,명,Olympic,B
701,올해,,今年,,명,,A
753,옮기다,,,,동,,B
1172,옳다01,,,,형,,B
530,옷01,,服,,명,,A
5252,와02,,,,감,,B
8867,와인,,,,명,wine,B
2507,완벽하다,,,,형,完璧-,B
795,완전히,,,,부,完全-,B
1142,왕04,,,,명,王,B
159,왜02,,どうして、なぜ,,부,,A
1301,왜냐하면,,,,부,,A
2972,왠지,,,,부,,B
892,외04,,,,의,外,B
2346,외교01,,,,명,外交,B
5039,외교관,,,,명,外交官,B
651,외국02,,外国,,명,外國,A
5040,외국어,,,,명,外國語,A
1611,외국인,,,,명,外國人,A
3322,외롭다,,,,형,,B
7078,외삼촌,,,,명,外三寸,B
4718,외우다01,,,,동,,B
5257,외출,,,,명,外出,B
9714,외출하다,,,,동,外出-,B
8482,외할머니,,,,명,外-,B
7860,왼발,,,,명,,B
6649,왼손,,,,명,,B
1822,왼쪽,,,,명,,A
668,요구하다,,,,동,要求-,B
2288,요금01,,,,명,料金,B
1604,요리05,,,,명,料理,A
14695,요리하다02,,,,동,料理-,A
3649,요새01,,,,명,,B
7586,요일,,,,명,曜日,A
2603,요즈음,,,,명,,A
399,요즘,,この頃,,명,,A
3011,요청,,,,명,要請,B
7587,욕실,,,,명,浴室,B
2973,욕심,,,,명,欲心,B
2289,용돈,,,,명,用-,B
13,우리03,,私たち、うちの,,대,,A
181,우리나라,,うちの国、我が国,,명,,A
2716,우리말,,,,명,,B
1632,우산01,,,,명,雨傘,A
430,우선02,,,,부,于先,B
4924,우수하다02,,,,형,優秀-,B
2974,우승05,,,,명,優勝,B
8874,우승하다,,,,동,優勝-,B
2935,우연히,,,,부,偶然-,B
5790,우울하다,,,,형,憂鬱-,B
2065,우유02,,,,명,牛乳,A
5791,우체국,,,,명,郵遞局,A
12746,우표,,,,명,郵票,B
3012,운06,,,,명,運,B
123,운동02,,運動,,명,運動,A
19150,운동복,,,,명,運動服,B
2534,운동장,,,,명,運動場,A
4822,운동하다,,,,동,運動-,A
9285,운동화,,,,명,運動靴,A
3707,운전02,,,,명,運轉,A
7592,운전기사,,,,명,運轉技士,B
4720,운전자,,,,명,運轉者,B
7864,운전하다,,,,동,運轉-,A
596,울다01,,泣く,,동,울음을 ~,A
1559,울리다01,,,,동,종이 ~,B
,울산,,,,고,蔚山,B
3197,울음,,,,명,,B
491,움직이다,,,,동,,B
3246,웃기다,,,,동,,B
324,웃다,,笑う,,동,,A
8877,웃어른,,,,명,,B
909,웃음,,,,명,,B
74,원01,,ウォン,韓国と北朝鮮の貨幣単位。韓国ウォンは約0.1円。,의,화폐 단위,A
1173,원래01,,,,명,元來,B
7321,원숭이,,,,명,,B
10182,원피스,,,,명,one-piece,B
903,원하다02,,,,동,願-,B
6854,월02,,,,의,月,A
3541,월급,,,,명,月給,B
6279,월드컵,,,,명,World Cup,B
4823,월요일,,,,명,月曜日,A
5259,웨이터,,,,명,waiter,B
3428,웬일,,,,명,,B
122,위01,,上,,명,~아래,A
2182,위반03,,,,명,違反,B
9724,위아래,,,,명,,B
7086,위쪽,,,,명,,B
15946,위층,,,,명,#NAME?,B
895,위치01,,,,명,位置,B
2420,위치하다,,,,동,位置-,B
33,위하다01,,,,동,爲-,B
1744,위험,,,,명,危險,A
2141,위험하다,,,,형,危險-,A
2717,유교02,,,,명,儒敎,B
2604,유난히,,,,부,,B
,유럽,,,,고,Europe,B
3247,유리10,,,,명,琉璃,B
4721,유리창01,,,,명,琉璃窓,B
4926,유명01,,,,명,有名,B
1605,유명하다01,,,,형,有名-,A
1080,유월01,,,,명,六月,A
3489,유치원,,,,명,幼稚園,B
2838,유학04,,,,명,留學,B
4452,유학06,,,,명,儒學,B
6655,유학생01,,,,명,留學生,B
3542,유행02,,,,명,流行,B
5043,유행하다01,,,,동,流行-,B
17406,육02,,,,수,六,A
28580,육십,,,,수,六十,A
5045,으응,,,,감,,B
599,은행02,,銀行,,명,銀行,A
1487,음01,,,,감,,B
2291,음료,,,,명,飮料,B
7093,음료수,,,,명,飮料水,B
395,음식,,食べ物,,명,飮食,A
586,음악01,,音楽,,명,音樂,A
8499,음악가,,,,명,音樂家,B
1110,응01,,,,감,,B
726,의견01,,,,명,意見,B
228,의미02,,,,명,意味,B
1394,의미하다02,,,,동,意味-,B
1295,의사12,,,,명,醫師,A
2872,의심하다,,,,동,疑心-,B
2292,의자03,,,,명,椅子,A
110,의하다01,,,,동,依-,B
2692,이03,,,,명,신체,A
14,이05,,この,,관,,A
30,이05,,これ,書き言葉,대,,A
9733,이09,,,,수,二,A
314,이거01,,これ,「이것」の話し言葉,대,,A
170,이것,,これ,,대,,A
5656,이것저것,,,,명,,B
624,이곳,,ここ,,대,,A
9294,이곳저곳,,,,명,,B
1111,이기다01,,,,동,적에게 ~,B
618,이날,,,,명,,B
2366,이동03,,,,명,移動,B
13671,이따가,,,,부,,B
548,이때,,この時,,명,,A
113,이러하다,,,,형,,B
83,이런01,,こんな～,,관,,A
,이렇게,,,,불,이러하게,B
105,이렇다,,こうだ,,형,,A
322,이루다01,,,,동,,B
359,이루어지다,,,,동,,B
1928,이뤄지다,,,,동,,B
320,이르다01,,,,동,도착하다,B
2557,이르다03,,,,형,빠르다,B
241,이름,,名前,,명,,A
3545,이리04,,,,부,~ 오너라,B
2476,이마01,,,,명,,B
4827,이모02,,,,명,姨母,B
232,이미01,,,,부,,B
1100,이미지,,,,명,image,B
9738,이발소,,,,명,理髮所,B
172,이번01,,今回の,,명,#NAME?,A
8505,이분01,,,,대,,A
2718,이불01,,,,명,,B
6117,이빨,,,,명,,B
1953,이사14,,,,명,移徙,B
8189,이사하다01,,,,동,移徙-,B
194,이상05,,,,명,以上,B
2694,이상09,,,,명,理想,B
2117,이상12,,,,명,異常,B
732,이상하다,,,,형,異常-,B
2719,이성08,,,,명,理性,B
51771,이십,,,,수,二十,A
197,이야기,,話す,,명,,A
539,이야기하다,,話す,,동,,A
1438,이외01,,,,명,以外,B
1642,이용01,,,,명,利用,B
2806,이용되다,,,,동,利用-,B
305,이용하다01,,,,동,利用-,B
951,이웃,,,,명,,B
5532,이웃집,,,,명,,B
1783,이월01,,,,명,二月,A
249,이유04,,,,명,理由,B
1412,이익02,,,,명,利益,B
869,이전03,,,,명,以前,B
210,이제01,,今,,부,,A
370,이제01,,今、これから,過去との違いを強調する意味で用いられる「今」,명,,A
1885,이쪽02,,,,대,,A
2807,이튿날,,,,명,,B
2422,이틀01,,,,명,시간,B
1965,이하02,,,,명,以下,B
930,이해06,,,,명,理解,B
515,이해하다02,,理解する,,동,理解-,A
7339,이혼03,,,,명,離婚,B
10196,이혼하다,,,,동,離婚-,B
270,이후02,,,,명,以後,B
2975,익다01,,,,동,감이 ~,B
3708,익숙하다,,,,형,,B
4011,익숙해지다,,,,동,,B
102,인간01,,,,명,人間,B
1302,인구01,,,,명,人口,B
849,인기01,,,,명,人氣,B
4374,인분80,,,,의,人分. 3~,B
1488,인사01,,,,명,人士,A
1204,인사02,,,,명,人事,A
8893,인사말,,,,명,人事-,B
4096,인사하다,,,,동,人事-,A
8512,인삼,,,,명,人蔘,B
15996,인삼차,,,,명,人蔘茶,B
8513,인상01,,,,명,人相,B
2451,인상06,,,,명,印象,B
880,인생01,,,,명,人生,B
4298,인원,,,,명,人員,B
1594,인제01,,,,부,,B
,인천,,,,고,仁川,A
,인천공항,,,,고,仁川空港,B
2452,인터넷,,,,명,internet,B
4300,인터뷰,,,,명,interview,B
4636,인형01,,,,명,人形,B
29,일01,,仕事、用事、出来事,,명,,A
7600,일05,,,,수,一,A
41,일07,,～日[にち],,의,하루,A
17461,일곱,,,,수,,A
7883,일기11,,,,명,日氣,B
3433,일기12,,,,명,日記,B
8191,일등,,,,명,一等,B
696,일반02,,,,명,一般,B
1324,일반적,,,,명,一般的,B
,일본,,,,고,日本,A
12030,일본어,,,,명,日本語,A
398,일부02,,,,명,一部,B
2720,일상04,,,,명,日常,B
3014,일상생활,,,,명,日常生活,B
216,일어나다,,起きる、立ち上がる,,동,,A
1784,일요일,,,,명,日曜日,A
1725,일월01,,,,명,一月,A
680,일으키다,,,,동,,B
3083,일정03,,,,명,日程,B
1456,일주일,,,,명,一週日,A
1186,일찍,,,,부,,A
661,일하다,,働く,,동,,A
7343,일회용,,,,명,一回用,B
9305,일회용품,,,,명,一回用品,B
13695,일흔,,,,수,,A
209,읽다,,読む,,동,,A
9306,읽히다01,,,,동,'읽다'의 피동사,B
756,잃다,,失う,,동,,A
2606,잃어버리다,,,,동,,A
1048,임금03,,,,명,賃金,B
2808,임시02,,,,명,臨時,B
1549,임신02,,,,명,妊娠,B
338,입,,口,,명,,A
2165,입구02,,,,명,入口,B
354,입다01,,着る,,동,옷을 ~,A
1679,입술,,,,명,,B
6293,입원01,,,,명,入院,B
6872,입원하다01,,,,동,入院-,B
2012,입학,,,,명,入學,B
4302,입학하다,,,,동,入學-,B
4,있다01,,ある、いる,,형,,A
888,있다01,,,,동,,A
931,잊다01,,,,동,,A
2905,잊어버리다,,,,동,,A
1680,잎01,,,,명,,A
1277,자04,,,,감,,B
5264,자가용,,,,명,自家用,B
2204,자격04,,,,명,資格,B
126,자기04,,,,대,自己,B
427,자기04,,,,명,自己,B
1385,자꾸01,,,,부,,B
3654,자꾸만,,,,부,,B
541,자다01,,寝る、眠る,,동,,A
2721,자동01,,,,명,自動,B
796,자동차,,自動車,,명,自動車,A
5139,자라나다,,,,동,,B
767,자라다01,,,,동,커지다,B
2581,자랑스럽다,,,,형,,B
2875,자랑하다01,,,,동,,B
509,자료03,,,,명,資料,B
1166,자르다01,,,,동,,B
229,자리01,,席,,명,~가 없다,A
2255,자세히,,,,부,仔細-,B
504,자식01,,,,명,子息,B
72,자신01,,,,명,自身,B
2143,자신02,,,,명,自信,B
348,자연01,,,,명,自然,B
924,자연스럽다,,,,형,自然-,B
757,자유03,,,,명,自由,B
1278,자유롭다,,,,형,自由-,B
5048,자장면,,,,명,&중Zhajiangmian,A
1224,자전거,,,,명,自轉車,A
674,자주01,,よく、しょっちゅう、頻繁に,,부,,A
286,자체02,,,,명,自體,B
8904,자판기,,,,명,自販機,B
565,작가01,,,,명,作家,B
1040,작년,,,,명,昨年,A
259,작다01,,小さい,,형,,A
8198,작아지다,,,,동,,B
884,잔03,,,,명,盞,A
2166,잔뜩,,,,부,,B
3710,잔치01,,,,명,,B
68,잘02,,よく、上手に,,부,,A
1402,잘되다,,,,동,,B
1371,잘못,,,,명,,B
1775,잘못,,,,부,,B
1541,잘못되다,,,,동,,B
1861,잘못하다,,,,동,,B
6295,잘살다,,,,동,,B
6668,잘생기다,,,,형,,B
479,잘하다,,上手だ、うまい,,동,,A
640,잠01,,眠り,「자다」の名詞形。,명,,A
2582,잠깐,,,,명,,A
2607,잠깐,,,,부,,A
2608,잠들다,,,,동,,B
722,잠시,,少しの間、ちょっと,,부,暫時,A
2144,잠시,,,,명,暫時,B
12049,잠옷,,,,명,,B
4547,잠자다,,,,동,,A
202,잡다01,,掴む、捕まえる,,동,,A
6878,잡수시다,,,,동,,A
1862,잡지,,,,명,雜誌,A
1550,잡히다02,,,,동,'잡다'의 피동사,B
925,장22,,,,의,張. 종이 한 ~,A
2664,장25,,,,명,章,B
6296,장가01,,,,명,~가다,B
12051,장갑01,,,,명,掌匣,B
1200,장군04,,,,명,將軍,B
6879,장난감,,,,명,,B
4152,장남03,,,,명,長男,B
2722,장래,,,,명,將來,B
7605,장마01,,,,명,,B
12818,장미05,,,,명,薔薇,A
2220,장사01,,,,명,,B
1325,장소05,,,,명,場所,A
2779,장점02,,,,명,長點,B
6129,장학금,,,,명,奬學金,B
750,재료01,,,,명,材料,B
1439,재미01,,,,명,,A
5538,재미없다,,,,형,,A
697,재미있다,,面白い,,형,,A
662,재산,,,,명,財産,B
9757,재작년,,,,명,再昨年,B
9758,재채기,,,,명,,B
6131,쟤,,,,불,저 아이,B
56,저03,,私,,대,일인칭 대명사,A
460,저04,,あの,,관,멀리 있는 대상,A
7608,저04,,,,대,멀리 있는 대상,A
1833,저05,,,,감,,B
4015,저거01,,,,대,,A
4304,저것,,,,대,,A
52763,저곳,,,,대,,A
1692,저기01,,,,대,,A
634,저녁,,夕方,,명,,A
8910,저녁때,,,,명,,B
3773,저런01,,,,관,,B
9325,저런02,,,,감,,B
,저렇게,,,,불,저러하게,B
3085,저렇다,,,,형,,B
6674,저리01,,,,부,저곳으로,B
7897,저번02,,,,명,這番,B
5661,저자05,,,,명,著者,B
2031,저쪽,,,,대,,A
4016,저축03,,,,명,貯蓄,B
1245,저희01,,,,대,,B
363,적03,,,,의,,B
2665,적13,,,,명,敵,B
2167,적극,,,,명,積極,B
1279,적극적,,,,명,積極的,B
1334,적다01,,,,동,답을 ~,A
590,적다02,,少ない,,형,경험이 ~,A
2583,적당하다02,,,,형,適當-,B
2780,적당히,,,,부,適當-,B
1447,적어도,,,,부,,B
8918,적어지다,,,,동,,B
2454,적용하다,,,,동,適用-,B
115,전08,,前（時間的な）,,명,前,A
534,전08,,（時間的な）前,,관,前,A
3495,전공05,,,,명,專攻,B
709,전국03,,,,명,全國,B
1834,전기15,,,,명,電氣,B
6884,전기밥솥,,,,명,,B
3372,전날,,,,명,前-,B
2424,전달하다02,,,,동,傳達-,B
,전라도,,,,고,全羅道,B
1015,전문08,,,,명,專門,B
1379,전문가,,,,명,專門家,B
3202,전부05,,,,명,全部,B
3713,전부05,,,,부,全部,B
2293,전자06,,,,명,電子,B
533,전쟁,,,,명,戰爭,B
4643,전철04,,,,명,電鐵,B
329,전체01,,,,명,全體,B
2393,전체적,,,,명,全體的,B
881,전통06,,,,명,傳統,B
2455,전통적,,,,명,傳統的,B
797,전하다,,,,동,傳-,B
2294,전해지다,,,,동,傳-,B
496,전혀01,,,,부,全-,B
375,전화07,,電話,,명,電話,A
7360,전화기,,,,명,電話機,B
3836,전화번호,,,,명,電話番號,A
4461,전화하다02,,,,동,電話-,A
2510,절01,,,,명,사찰,B
3327,절02,,,,명,~을 하다,B
3434,절대05,,,,부,絶對,B
2477,절대로,,,,부,絶對-,B
2394,절반,,,,명,折半,B
6676,절약하다,,,,동,節約-,B
528,젊다,,,,형,,B
1255,젊은이,,,,명,,B
109,점10,,,,명,點,B
1577,점10,,,,의,點,B
3602,점수06,,,,명,點數,B
2256,점심,,,,명,點心,A
9328,점심때,,,,명,點心-,B
6132,점심시간,,,,명,點心時間,A
8536,점원01,,,,명,店員,B
1143,점점01,,,,부,漸漸,B
1285,점차02,,,,부,漸次,B
4234,접시,,,,명,,B
4550,젓가락,,,,명,,A
2559,젓다01,,,,동,,B
2269,정20,,,,명,情,B
9769,정거장,,,,명,停車場,B
7906,정답,,,,명,正答,B
86,정도11,,,,명,程度,B
5966,정류장,,,,명,停留場,A
2323,정리09,,,,명,整理,B
1212,정리하다,,,,동,整理-,B
349,정말01,,本当、本当に,,부,正-,A
3129,정말01,,,,명,正-,B
5275,정말01,,,,감,正-,B
2425,정말로,,,,부,正-,B
4305,정문03,,,,명,正門,B
435,정보06,,,,명,情報,B
1931,정상11,,,,명,頂上,B
2609,정식01,,,,명,正式,B
319,정신12,,,,명,精神,B
2270,정신적,,,,명,精神的,B
5276,정원06,,,,명,庭園,B
234,정치03,,,,명,政治,B
2844,정치적,,,,명,政治的,B
803,정하다03,,,,동,定-,B
2939,정해지다,,,,동,定-,B
1016,정확하다01,,,,형,正確-,B
2257,정확히01,,,,부,正確-,B
1466,젖다01,,,,동,,B
1440,제공하다02,,,,동,提供-,B
619,제대로,,,,부,,B
1524,제목02,,,,명,題目,B
3547,제발01,,,,부,,B
3162,제법01,,,,부,,B
733,제일04,,一番、最も,,명,第一,A
,제주도,,,,고,濟州島,A
2976,제출하다02,,,,동,提出-,B
516,제품02,,,,명,製品,B
2222,제한01,,,,명,制限,B
2907,조각05,,,,명,彫刻,B
468,조건02,,,,명,條件,B
2324,조그맣다,,,,형,,B
663,조금01,,少し,,명,,A
738,조금01,,少し,,부,,A
1735,조금씩,,,,부,,B
336,조사30,,,,명,調査,B
885,조사하다12,,,,동,調査-,B
1583,조상07,,,,명,祖上,B
2977,조심스럽다,,,,형,操心-,B
2666,조심하다02,,,,동,操心-,B
2610,조용하다01,,,,형,,A
2047,조용히,,,,부,,B
4835,조카,,,,명,,B
9778,존댓말,,,,명,尊待-,B
7913,졸다01,,,,동,,B
2845,졸업,,,,명,卒業,A
6307,졸업생,,,,명,卒業生,B
2145,졸업하다,,,,동,卒業-,A
90,좀02,,ちょっと,日本語の「ちょっと」同様、依頼表現の語感を柔らかくするために用いられることがある。,부,조금,A
1754,좁다01,,,,형,,B
1810,종09,,,,명,種,B
921,종교,,,,명,宗敎,B
,종로,,,,고,鍾路,B
973,종류02,,,,명,種類,B
2512,종업원,,,,명,從業員,B
1423,종이01,,,,명,,A
10245,종이컵,,,,명,#NAME?,B
3499,종일01,,,,명,終日,B
1266,종합,,,,명,綜合,B
45,좋다01,,良い,,형,,A
3500,좋아지다,,,,동,,B
438,좋아하다,,好きだ、好む,,동,,A
4464,좌석,,,,명,座席,B
2724,죄송하다,,,,형,罪悚-,A
2183,주26,,,,명,週,A
2585,주26,,,,의,週,A
23,주다01,,（～て）あげる、くれる,,보,,A
101,주다01,,あげる、くれる,,동,,A
641,주로01,,,,부,主-,B
1933,주말02,,,,명,週末,A
2348,주머니,,,,명,,B
2699,주먹,,,,명,,B
5816,주무시다,,,,동,,B
5408,주문하다01,,,,동,注文-,B
654,주변04,,,,명,周邊,B
1765,주부03,,,,명,主婦,B
5409,주사13,,,,명,注射,B
4836,주소01,,,,명,住所,A
5553,주스,,,,명,juice,A
1058,주요01,,,,명,主要,B
743,주위02,,,,명,周圍,B
825,주인01,,,,명,主人,A
1310,주인공,,,,명,主人公,B
503,주장하다01,,,,동,主張-,B
836,주제04,,,,명,主題,B
14862,주차04,,,,명,駐車,B
5143,주차장,,,,명,駐車場,B
19443,주차하다01,,,,동,駐車-,B
1478,주택,,,,명,住宅,B
4381,죽07,,,,명,粥,B
231,죽다01,,死ぬ,,동,굶어 ~,A
6308,죽다01,,,,보,심심해 ~,B
985,죽음01,,,,명,,B
1215,죽이다01,,,,동,굶겨 ~,B
1074,준비,,,,명,準備,A
5554,준비되다,,,,동,準備-,B
3950,준비물,,,,명,準備物,B
1107,준비하다,,,,동,準備-,A
1205,줄01,,,,명,~로 감다,B
343,줄04,,,,의,방법,B
2325,줄기01,,,,명,,B
2810,줄다,,,,동,,B
8219,줄무늬,,,,명,,B
896,줄이다,,,,동,,B
2781,줍다01,,,,동,,B
66,중04,,,,의,中,B
1681,중간01,,,,명,中間,B
,중국,,,,고,中國,A
19454,중국어,,,,명,中國語,A
11408,중국집,,,,명,中國-,B
308,중심01,,,,명,中心,B
5974,중요02,,,,명,重要,B
2725,중요성,,,,명,重要性,B
220,중요하다02,,重要だ,,형,重要-,A
1996,중학교,,,,명,中學校,A
5053,중학생,,,,명,中學生,A
3250,쥐02,,,,명,동물,B
1413,쥐다01,,,,동,주먹을 ~,B
267,즉01,,,,부,卽,B
2611,즉시,,,,명,卽時,B
3203,즐거움,,,,명,,B
9345,즐거워하다,,,,동,,B
1002,즐겁다,,,,형,,A
687,즐기다01,,,,동,,B
2271,증상01,,,,명,症狀,B
4021,증세01,,,,명,症勢,B
688,지02,,,,의,만난 ~ 오래되다,B
3888,지갑03,,,,명,紙匣,A
2811,지구03,,,,명,地區,B
773,지구04,,,,명,地球,B
176,지금03,,今,,명,只今,A
195,지금03,,今,,부,只今,A
961,지나가다,,,,동,,B
97,지나다,,,,동,,B
1059,지나치다,,,,형,,B
1643,지난달,,,,명,,A
3331,지난번,,,,명,#NAME?,B
7371,지난주,,,,명,#NAME?,A
523,지난해,,,,명,,B
600,지내다01,,過ごす,,동,,A
2751,지다02,,,,동,해가 ~,B
3204,지다03,,,,동,전쟁에 ~,B
1776,지다05,,,,동,등에 ~,B
1901,지도03,,,,명,地圖,A
1644,지르다03,,,,동,소리를 ~,B
275,지방05,,,,명,地方,B
2478,지붕,,,,명,,B
162,지역03,,,,명,地域,B
11421,지우개,,,,명,,A
2812,지우다01,,,,동,낙서를 ~,A
3298,지점03,,,,명,地點,B
2258,지치다01,,,,동,일에 ~,B
381,지키다01,,,,동,,B
1745,지하,,,,명,地下,A
11424,지하도,,,,명,地下道,B
1755,지하철,,,,명,地下鐵,A
1578,직업,,,,명,職業,B
1187,직원03,,,,명,職員,B
1052,직장05,,,,명,職場,B
561,직접,,,,부,直接,B
2942,직접,,,,명,直接,B
7378,진달래,,,,명,,B
1431,진짜,,,,부,眞-,B
2480,진짜,,,,명,眞-,B
2782,진출02,,,,명,進出,B
3018,진하다01,,,,형,津-,B
1246,진행되다,,,,동,進行-,B
2587,진행하다,,,,동,進行-,B
2667,질08,,,,명,質,B
1144,질문,,,,명,質問,A
7634,질문하다,,,,동,質問-,A
607,질서03,,,,명,秩序,B
2538,짐01,,,,명,,B
49,집01,,家,,명,,A
1756,집다01,,,,동,,B
1213,집안01,,,,명,,B
2243,집중02,,,,명,集中,B
1525,짓01,,,,명,,B
247,짓다01,,,,동,,B
2482,짙다02,,,,형,,B
9356,짜다03,,,,형,음식이 ~,A
3663,짜증,,,,명,,B
856,짧다,,,,형,,A
7637,짧아지다,,,,동,,B
6142,쪽02,,,,명,면,B
233,쪽05,,方[ほう],,의,방향,A
6693,찌개01,,,,명,,A
7638,찌다01,,,,동,살이 ~,B
2668,찌르다,,,,동,,B
1188,찍다02,,,,동,서류에 도장을 ~,A
417,차06,,車,,명,車,A
3052,차09,,,,명,茶,A
2067,차갑다,,,,형,,B
7386,차남02,,,,명,次男,B
2223,차다02,,,,동,공을 ~,B
3716,차다04,,,,형,날씨가 ~,B
658,차례01,,,,명,次例,B
1386,차리다,,,,동,,B
557,차이,,,,명,差異,B
1567,착하다,,,,형,,B
4740,찬물01,,,,명,,B
622,참01,,本当、まったく,,부,참으로,A
1800,참01,,,,감,이것 ~,B
2456,참가하다01,,,,동,參加-,B
2813,참기름,,,,명,,B
1053,참다,,,,동,,B
1966,참석하다,,,,동,參席-,B
8562,찻잔,,,,명,茶盞,B
3439,창고01,,,,명,倉庫,B
2033,창문,,,,명,窓門,A
2483,창밖,,,,명,窓-,B
191,찾다,,探す、見つける,,동,,A
1424,찾아가다,,,,동,,B
2326,찾아내다,,,,동,,B
1112,찾아보다,,,,동,,B
1023,찾아오다,,,,동,,B
5417,채널,,,,명,channel,B
3053,채소,,,,명,菜蔬,B
1777,채우다03,,,,동,자리를 ~,B
215,책01,,本,,명,冊,A
7640,책가방,,,,명,冊-,B
10808,책방01,,,,명,冊房,B
1653,책상01,,,,명,冊床,A
758,책임,,,,명,責任,B
2669,책임자,,,,명,責任者,B
5978,챔피언,,,,명,champion,B
1495,챙기다,,,,동,,B
184,처음,,初めて,,명,,A
3090,천03,,,,관,千,A
24937,천03,,,,수,千,A
1683,천천히,,,,부,,A
4945,철01,,,,명,계절,B
670,첫,,,,관,,B
3664,첫날,,,,명,,B
1728,첫째,,,,수,,A
4386,첫째,,,,관,,A
2259,청년,,,,명,靑年,B
10274,청바지,,,,명,靑-,A
2484,청소06,,,,명,淸掃,A
19549,청소기80,,,,명,淸掃機,B
1108,청소년,,,,명,靑少年,B
4946,청소하다03,,,,동,淸掃-,A
1396,체육,,,,명,體育,B
4241,체중01,,,,명,體重,B
1206,쳐다보다,,,,동,,B
1181,초03,,,,의,初,B
2034,초07,,,,의,秒,B
7129,초대06,,,,명,招待,A
5293,초대하다02,,,,동,招待-,A
9369,초등학교,,,,명,初等學校,A
16217,초록색,,,,명,草綠色,B
6147,초밥,,,,명,醋-,B
9370,초보01,,,,명,初步,B
9811,초보자,,,,명,初步者,B
9812,초청장,,,,명,招請狀,B
8235,초콜릿,,,,명,chocolate,A
1801,총장01,,,,명,總長,B
2120,촬영,,,,명,撮影,B
587,최고02,,,,명,最高,B
278,최근,,,,명,最近,B
1468,최대,,,,명,最大,B
2612,최선02,,,,명,最善,B
2168,최소한,,,,명,最小限,B
1175,최초,,,,명,最初,B
2426,추다02,,,,동,춤을 ~,A
2752,추억,,,,명,追憶,B
3504,추위01,,,,명,,B
1317,축구04,,,,명,蹴球,A
16227,축구공,,,,명,蹴球-,B
2562,축제01,,,,명,祝祭,B
5982,축하,,,,명,祝賀,B
4656,축하하다,,,,동,祝賀-,A
6149,출구01,,,,명,出口,B
4470,출근,,,,명,出勤,B
5420,출근하다,,,,동,出勤-,B
2881,출발,,,,명,出發,B
1982,출발하다,,,,동,出發-,A
2272,출연하다02,,,,동,出演-,B
3955,출입,,,,명,出入,B
6150,출입문,,,,명,出入門,B
5686,출장01,,,,명,出張,B
1458,춤01,,,,명,,A
5154,춤추다,,,,동,,A
1654,춥다,,,,형,,A
1595,충격02,,,,명,衝擊,B
1624,충분하다01,,,,형,充分-,B
1207,충분히,,,,부,充分-,B
,충청도,,,,고,忠淸道,B
2671,취미04,,,,명,趣味,A
5983,취소01,,,,명,取消,B
5421,취소하다01,,,,동,取消-,B
4844,취직,,,,명,就職,B
